,Bursts,Hum,Predicted,Pressure,Rain,Sonnenutergang,Temperatur,Wind,date
0,3.5,95,Teils wolkig mit geringer Temperaturänderung.,1023.0,0.0,19:32,11.6,1.7,2015-11-09 01:50:21
1,3.5,95,Teils wolkig mit geringer Temperaturänderung.,1023.0,0.0,19:32,11.6,1.7,2015-11-09 01:51:22
2,3.5,95,Teils wolkig mit geringer Temperaturänderung.,1023.0,0.0,19:32,11.6,1.7,2015-11-09 01:52:21
3,3.5,95,Teils wolkig mit geringer Temperaturänderung.,1023.0,0.0,19:32,11.6,1.7,2015-11-09 01:53:21
4,3.5,94,Teils wolkig mit geringer Temperaturänderung.,1023.0,0.0,19:32,11.6,1.7,2015-11-09 01:54:21
5,3.5,94,Teils wolkig mit geringer Temperaturänderung.,1023.0,0.0,19:32,11.6,1.7,2015-11-09 01:55:21
6,3.5,94,Teils wolkig mit geringer Temperaturänderung.,1022.9,0.0,19:32,11.5,1.7,2015-11-09 01:56:21
7,3.5,94,Teils wolkig mit geringer Temperaturänderung.,1022.9,0.0,19:32,11.5,1.7,2015-11-09 01:57:21
8,3.5,94,Teils wolkig mit geringer Temperaturänderung.,1022.9,0.0,19:32,11.5,1.7,2015-11-09 01:58:21
9,3.5,94,Teils wolkig mit geringer Temperaturänderung.,1022.9,0.0,19:32,11.4,1.7,2015-11-09 01:59:21
10,3.5,94,Teils wolkig mit geringer Temperaturänderung.,1023.0,0.0,19:32,11.4,1.7,2015-11-09 02:00:21
11,3.5,94,Teils wolkig mit geringer Temperaturänderung.,1023.0,0.0,19:32,11.4,1.7,2015-11-09 02:01:21
12,3.5,94,Teils wolkig mit geringer Temperaturänderung.,1022.9,0.0,19:32,11.4,1.7,2015-11-09 02:02:21
